code,province,city,latitude,longitude,elderly_population_ratio,elderly_alone_ratio,nursing_home_count
10000,Seoul,Seoul,37.566953,126.977977,15.38,5.8,22739
10010,Seoul,Gangnam-gu,37.518421,127.047222,13.17,4.3,3088
10020,Seoul,Gangdong-gu,37.530492,127.123837,14.55,5.4,1023
10030,Seoul,Gangbuk-gu,37.639938,127.025508,19.49,8.5,628
10040,Seoul,Gangseo-gu,37.551166,126.849506,14.39,5.7,1080
10050,Seoul,Gwanak-gu,37.47829,126.951502,15.12,4.9,909
10060,Seoul,Gwangjin-gu,37.538712,127.082366,13.75,4.8,723
10070,Seoul,Guro-gu,37.495632,126.88765,16.21,5.7,741
10080,Seoul,Geumcheon-gu,37.456852,126.895229,16.15,6.7,475
10090,Seoul,Nowon-gu,37.654259,127.056294,15.4,7.4,952
10100,Seoul,Dobong-gu,37.668952,127.047082,17.89,7.2,485
10110,Seoul,Dongdaemun-gu,37.574552,127.039721,17.26,6.7,832
10120,Seoul,Dongjak-gu,37.510571,126.963604,15.85,5.2,762
10130,Seoul,Mapo-gu,37.566283,126.901644,14.05,4.9,929
10140,Seoul,Seodaemun-gu,37.579428,126.936771,16.77,6.2,587
10150,Seoul,Seocho-gu,37.483804,127.032693,13.39,3.8,1465
10160,Seoul,Seongdong-gu,37.563277,127.036647,14.76,5.3,593
10170,Seoul,Seongbuk-gu,37.589562,127.0167,16.15,6,729
10180,Seoul,Songpa-gu,37.51462,127.106141,13.1,4.1,1527
10190,Seoul,Yangcheon-gu,37.517189,126.866618,13.55,5.5,816
10200,Seoul,Yeongdeungpo-gu,37.526505,126.89619,15.6,5.8,1001
10210,Seoul,Yongsan-gu,37.532768,126.990021,16.87,6.5,435
10220,Seoul,Eunpyeong-gu,37.603481,126.929173,17,6.5,874
10230,Seoul,Jongno-gu,37.572999,126.979189,18.27,6.8,668
10240,Seoul,Jung-gu,37.563988,126.99753,18.42,7.4,728
10250,Seoul,Jungnang-gu,37.606832,127.092656,16.65,6.9,689
11000,Busan,Busan,35.179884,129.074796,18.41,8.6,6752
11010,Busan,Gangseo-gu,35.212424,128.98068,11.84,5,147
11020,Busan,Geumjeong-gu,35.243053,129.092163,19.8,8.4,466
11030,Busan,Gijang-gun,35.244881,129.222253,15.45,7.4,229
11040,Busan,Nam-gu,35.136789,129.08414,19.13,7.9,475
11050,Busan,Dong-gu,35.129432,129.04554,25.42,13.8,239
11060,Busan,Dongnae-gu,35.20506,129.083673,17.53,7.7,608
11070,Busan,Busanjin-gu,35.163332,129.053058,19.01,8.7,986
11080,Busan,Buk-gu,35.197483,128.990224,16.04,8.4,465
11090,Busan,Sasang-gu,35.152777,128.991142,17,8.1,317
11100,Busan,Saha-gu,35.104642,128.974792,17.76,8.1,541
11110,Busan,Seo-gu,35.098135,129.024193,24.36,12.3,235
11120,Busan,Suyeong-gu,35.145805,129.113194,20.4,8.2,395
11130,Busan,Yeonje-gu,35.176406,129.079566,18.27,7.8,450
11140,Busan,Yeongdo-gu,35.091362,129.067884,26.13,13.3,203
11150,Busan,Jung-gu,35.106321,129.032256,26,13,182
11160,Busan,Haeundae-gu,35.16336,129.163594,16.53,7.9,814
12000,Daegu,Daegu,35.87215,128.601783,15.78,7.5,5083
12010,Daegu,Nam-gu,35.8463,128.597723,22.49,10.4,345
12020,Daegu,Dalseo-gu,35.830128,128.532635,13.56,6.5,1064
12030,Daegu,Dalseong-gun,35.77475,128.431314,12.11,5.4,361
12040,Daegu,Dong-gu,35.886836,128.635537,18.81,9,649
12050,Daegu,Buk-gu,35.892506,128.583779,13.95,6.3,748
12060,Daegu,Seo-gu,35.871993,128.559182,21.29,10.1,374
12070,Daegu,Suseong-gu,35.858395,128.630551,15,6.9,948
12080,Daegu,Jung-gu,35.869551,128.606184,20.29,9.6,594
13000,Gwangju,Gwangju,35.160467,126.851392,13.57,6.4,2852
13010,Gwangju,Gwangsan-gu,35.139941,126.7937,9.1,4.6,640
13020,Gwangju,Nam-gu,35.132982,126.902379,16.76,7.5,427
13030,Gwangju,Dong-gu,35.14626,126.923133,21.59,8.8,327
13040,Gwangju,Buk-gu,35.174434,126.912061,14.35,6.9,782
13050,Gwangju,Seo-gu,35.152516,126.889614,13.52,6.1,676
14000,Incheon,Incheon,37.456188,126.70592,13.2,5.8,4497
14010,Incheon,Ganghwa-gun,37.747065,126.487777,31.97,13.9,107
14020,Incheon,Gyeyang-gu,37.537537,126.737712,11.81,5.2,477
14030,Incheon,Michuhol-gu,37.463572,126.65027,16.29,6.8,643
14040,Incheon,Namdong-gu,37.44727,126.731429,12.68,5.5,955
14050,Incheon,Dong-gu,37.474101,126.643266,21.62,10.5,122
14060,Incheon,Bupyeong-gu,37.507031,126.721804,13.83,6.2,847
14070,Incheon,Seo-gu,37.545557,126.675994,10.02,3.9,670
14080,Incheon,Yeonsu-gu,37.410262,126.678309,9.48,4,467
14090,Incheon,Ongjin-gun,37.446777,126.636747,25.35,11.1,32
14100,Incheon,Jung-gu,37.473761,126.621693,14.14,6.7,177
15000,Daejeon,Daejeon,36.350621,127.384744,13.65,5.8,2984
15010,Daejeon,Daedeok-gu,36.346713,127.415597,14.97,6.9,310
15020,Daejeon,Dong-gu,36.31204,127.454742,18.16,8.1,447
15030,Daejeon,Seo-gu,36.35553,127.383755,12.05,4.9,1123
15040,Daejeon,Yuseong-gu,36.362226,127.356153,9.04,3.3,586
15050,Daejeon,Jung-gu,36.325735,127.421317,18.39,8.2,518
16000,Ulsan,Ulsan,35.539797,129.311538,11.76,5.2,1801
16010,Ulsan,Nam-gu,35.543833,129.330047,11.42,4.8,765
16020,Ulsan,Dong-gu,35.504806,129.416575,11.68,4.4,242
16030,Ulsan,Buk-gu,35.582685,129.36124,7.69,3.4,211
16040,Ulsan,Ulju-gun,35.522126,129.242507,13.94,6.7,260
16050,Ulsan,Jung-gu,35.569468,129.332773,14.15,6.5,323
17000,Sejong,Sejong,36.480132,127.289021,9.48,3.8,491
20000,Gyeonggi-do,Gyeonggi-do,37.275119,127.009466,12.63,5.2,20491
20010,Gyeonggi-do,Gapyeong-gun,37.831297,127.509555,25.09,12,114
20020,Gyeonggi-do,Goyang-si,37.658363,126.831961,12.82,5.2,1608
20030,Gyeonggi-do,Gwacheon-si,37.42915,126.987616,13.98,5.7,92
20040,Gyeonggi-do,Gwangmyeong-si,37.478541,126.864648,13.25,5.8,530
20050,Gyeonggi-do,Gwangju-si,37.429322,127.255153,12.65,4,406
20060,Gyeonggi-do,Guri-si,37.594267,127.129549,12.88,5.1,418
20070,Gyeonggi-do,Gunpo-si,37.361653,126.935206,12.42,5.4,429
20080,Gyeonggi-do,Gimpo-si,37.615238,126.715601,12.1,4.4,604
20090,Gyeonggi-do,Namyangju-si,37.635791,127.216552,13.44,5,912
20100,Gyeonggi-do,Dongducheon-si,37.903568,127.060347,19.56,9.7,140
20110,Gyeonggi-do,Bucheon-si,37.503393,126.766049,12.77,5.4,1432
20120,Gyeonggi-do,Seongnam-si,37.42,127.126703,13.52,5.6,2095
20130,Gyeonggi-do,Suwon-si,37.263376,127.028613,10.5,4.5,2082
20140,Gyeonggi-do,Siheung-si,37.38011,126.803009,8.86,3.8,622
20150,Gyeonggi-do,Ansan-si,37.321863,126.83092,10.35,4.6,1024
20160,Gyeonggi-do,Anseong-si,37.008008,127.279763,16.95,7.2,271
20170,Gyeonggi-do,Anyang-si,37.394258,126.956752,12.88,5.1,1099
20180,Gyeonggi-do,Yangju-si,37.785253,127.045823,15.23,6.3,252
20190,Gyeonggi-do,Yangpyeong-gun,37.491744,127.48757,24.66,11.1,178
20200,Gyeonggi-do,Yeoju-si,37.298209,127.637351,21.05,8.8,191
20210,Gyeonggi-do,Yeoncheon-gun,38.096409,127.075067,25.41,12.7,69
20220,Gyeonggi-do,Osan-si,37.149854,127.077461,9.09,3.6,314
20230,Gyeonggi-do,Yongin-si,37.240985,127.17805,12.77,4.1,1429
20240,Gyeonggi-do,Uiwang-si,37.344649,126.968299,12.99,5,189
20250,Gyeonggi-do,Uijeongbu-si,37.738058,127.033716,14.61,6.4,729
20260,Gyeonggi-do,Icheon-si,37.272169,127.434991,13.71,5.8,333
20270,Gyeonggi-do,Paju-si,37.759818,126.7799,13.52,5.3,573
20280,Gyeonggi-do,Pyeongtaek-si,36.992293,127.112709,12.13,5.6,765
20290,Gyeonggi-do,Pocheon-si,37.894881,127.200346,18.92,8.2,209
20300,Gyeonggi-do,Hanam-si,37.53926,127.214944,12.43,4.8,381
20310,Gyeonggi-do,Hwaseong-si,37.199536,126.83133,8.58,3.3,1001
30000,Gangwon-do,Gangwon-do,37.885369,127.729868,19.89,9.8,2519
30010,Gangwon-do,Gangneung-si,37.75197,128.875928,20.46,9.6,347
30020,Gangwon-do,Goseong-gun,38.380571,128.467827,28.53,14.6,41
30030,Gangwon-do,Donghae-si,37.524689,129.114239,19.41,10.1,140
30040,Gangwon-do,Samcheok-si,37.449899,129.165365,24.26,13,94
30050,Gangwon-do,Sokcho-si,38.207022,128.591861,18.33,9.7,165
30060,Gangwon-do,Yanggu-gun,38.110002,127.990092,20.38,9.9,33
30070,Gangwon-do,Yangyang-gun,38.075405,128.619125,28.92,14.6,37
30080,Gangwon-do,Yeongwol-gun,37.183694,128.461835,28.54,15.4,56
30090,Gangwon-do,Wonju-si,37.341963,127.919668,14.46,6.7,597
30100,Gangwon-do,Inje-gun,38.069682,128.170335,19.88,10.4,46
30110,Gangwon-do,Jeongseon-gun,37.38062,128.660873,26.79,13.9,53
30120,Gangwon-do,Cheorwon-gun,38.146693,127.3134,21.8,11.1,70
30130,Gangwon-do,Chuncheon-si,37.881281,127.730088,17.1,7.6,472
30140,Gangwon-do,Taebaek-si,37.16406,128.985736,23.88,12.8,64
30150,Gangwon-do,Pyeongchang-gun,37.370743,128.390335,27.04,13.7,84
30160,Gangwon-do,Hongcheon-gun,37.697037,127.888821,25.28,12.6,115
30170,Gangwon-do,Hwacheon-gun,38.106152,127.708163,21.75,11.2,36
30180,Gangwon-do,Hoengseong-gun,37.491702,127.985042,28.22,13.3,69
40000,Chungcheongbuk-do,Chungcheongbuk-do,36.63568,127.491384,17.28,8.5,2769
40010,Chungcheongbuk-do,Goesan-gun,36.81534,127.786651,33.01,16.5,64
40020,Chungcheongbuk-do,Danyang-gun,36.984657,128.365476,29.52,15.8,52
40030,Chungcheongbuk-do,Boeun-gun,36.489402,127.729503,33.46,18.4,74
40040,Chungcheongbuk-do,Yeongdong-gun,36.175017,127.783431,30.32,16.1,108
40050,Chungcheongbuk-do,Okcheon-gun,36.306367,127.57128,28.83,14.9,107
40060,Chungcheongbuk-do,Eumseong-gun,36.940237,127.690502,20.33,9.2,169
40070,Chungcheongbuk-do,Jecheon-si,37.132583,128.190946,20.92,10.5,245
40080,Chungcheongbuk-do,Jeungpyeong-gun,36.785301,127.581481,16.59,8.7,62
40090,Chungcheongbuk-do,Jincheon-gun,36.855374,127.435635,16.16,8.3,121
40100,Chungcheongbuk-do,Cheongju-si,36.641876,127.488759,12.82,6,1420
40110,Chungcheongbuk-do,Chungju-si,36.991009,127.925946,19.07,9,347
41000,Chungcheongnam-do,Chungcheongnam-do,36.658976,126.673318,18.4,8.9,3641
41010,Chungcheongnam-do,Gyeryong-si,36.274481,127.248557,11.3,5.1,61
41020,Chungcheongnam-do,Gongju-si,36.446508,127.11903,25.2,11.7,221
41030,Chungcheongnam-do,Geumsan-gun,36.108887,127.487966,30.15,14.8,119
41040,Chungcheongnam-do,Nonsan-si,36.187076,127.098959,25.54,13.4,262
41050,Chungcheongnam-do,Dangjin-si,36.889777,126.645814,18.14,7.9,265
41060,Chungcheongnam-do,Boryeong-si,36.333317,126.612679,25.04,12.6,186
41070,Chungcheongnam-do,Buyeo-gun,36.275673,126.90979,33.3,17.4,137
41080,Chungcheongnam-do,Seosan-si,36.784751,126.450289,18.01,8.4,261
41090,Chungcheongnam-do,Seocheon-gun,36.080266,126.691394,35.25,18.9,116
41100,Chungcheongnam-do,Asan-si,36.789844,127.00242,12.89,6.1,435
41110,Chungcheongnam-do,Yesan-gun,36.680222,126.844687,30.27,14.5,156
41120,Chungcheongnam-do,Cheonan-si,36.81498,127.113868,10.42,4.5,1069
41130,Chungcheongnam-do,Cheongyang-gun,36.459129,126.802333,34.51,18,62
41140,Chungcheongnam-do,Taean-gun,36.745577,126.29795,29.98,13.8,112
41150,Chungcheongnam-do,Hongseong-gun,36.60126,126.660772,23.11,11.3,179
50000,Jeollabuk-do,Jeollabuk-do,35.820308,127.108791,20.6,10.9,3774
50010,Jeollabuk-do,Gochang-gun,35.435767,126.702152,33.33,20.6,123
50020,Jeollabuk-do,Gunsan-si,35.967631,126.737011,18.07,8.8,494
50030,Jeollabuk-do,Gimje-si,35.803506,126.880507,30.89,17.9,188
50040,Jeollabuk-do,Namwon-si,35.416349,127.390265,27.25,16.3,186
50050,Jeollabuk-do,Muju-gun,36.006777,127.660789,32.71,18.7,53
50060,Jeollabuk-do,Buan-gun,35.731805,126.733347,32.2,19.1,118
50070,Jeollabuk-do,Sunchang-gun,35.374421,127.137597,32.97,20.2,72
50080,Jeollabuk-do,Wanju-gun,35.904724,127.162209,22.38,9.8,170
50090,Jeollabuk-do,Iksan-si,35.948229,126.957792,18.85,9.3,556
50100,Jeollabuk-do,Imsil-gun,35.617891,127.288868,34.82,20.1,79
50110,Jeollabuk-do,Jangsu-gun,35.647281,127.521204,32.87,19.1,44
50120,Jeollabuk-do,Jeonju-si,35.824069,127.14805,14.4,6.8,1381
50130,Jeollabuk-do,Jeongeup-si,35.569768,126.856148,26.92,15.9,256
50140,Jeollabuk-do,Jinan-gun,35.791669,127.424806,33.8,19.5,54
51000,Jeollanam-do,Jeollanam-do,34.816095,126.463021,22.81,13.5,3389
51010,Jeollanam-do,Gangjin-gun,34.642006,126.767267,33.87,21.7,71
51020,Jeollanam-do,Goheung-gun,34.61117,127.285055,40.04,24.5,141
51030,Jeollanam-do,Gokseong-gun,35.282015,127.292107,35.16,22.5,70
51040,Jeollanam-do,Gwangyang-si,34.940611,127.696142,12.65,6.8,210
51050,Jeollanam-do,Gurye-gun,35.202521,127.462789,33.3,19.4,57
51060,Jeollanam-do,Naju-si,35.015818,126.710826,22.16,13.2,214
51070,Jeollanam-do,Damyang-gun,35.321144,126.988229,30.27,16.3,98
51080,Jeollanam-do,Mokpo-si,34.811809,126.392198,15.88,8.8,406
51090,Jeollanam-do,Muan-gun,34.990368,126.481653,20.82,11.8,141
51100,Jeollanam-do,Boseong-gun,34.771453,127.080097,37.43,23.8,98
51110,Jeollanam-do,Suncheon-si,34.950592,127.487396,15.2,8.3,452
51120,Jeollanam-do,Sinan-gun,34.833564,126.351636,35.18,21,77
51130,Jeollanam-do,Yeosu-si,34.760421,127.662287,18.59,9.5,471
51140,Jeollanam-do,Yeonggwang-gun,35.277188,126.512087,28.4,17.3,116
51150,Jeollanam-do,Yeongam-gun,34.800192,126.696802,25.99,15.6,100
51160,Jeollanam-do,Wando-gun,34.310983,126.755076,31.55,17.9,96
51170,Jeollanam-do,Jangseong-gun,35.301826,126.784893,28.75,16.8,80
51180,Jeollanam-do,Jangheung-gun,34.681616,126.90708,33.21,21.6,80
51190,Jeollanam-do,Jindo-gun,34.486834,126.263554,32.97,22,68
51200,Jeollanam-do,Hampyeong-gun,35.065927,126.516688,35.45,22,76
51210,Jeollanam-do,Haenam-gun,34.573374,126.59925,31.45,20,135
51220,Jeollanam-do,Hwasun-gun,35.064456,126.986643,26.14,17.4,132
60000,Gyeongsangbuk-do,Gyeongsangbuk-do,36.576032,128.505599,20.85,11.1,4474
60010,Gyeongsangbuk-do,Gyeongsan-si,35.825056,128.741544,16.18,7,427
60020,Gyeongsangbuk-do,Gyeongju-si,35.856185,129.224796,21.66,11,407
60030,Gyeongsangbuk-do,Goryeong-gun,35.72615,128.26295,30.17,15.9,62
60040,Gyeongsangbuk-do,Gumi-si,36.119641,128.344295,9.08,4.3,616
60050,Gyeongsangbuk-do,Gunwi-gun,36.242926,128.572939,38.87,21.6,41
60060,Gyeongsangbuk-do,Gimcheon-si,36.139875,128.11365,22.35,12.2,212
60070,Gyeongsangbuk-do,Mungyeong-si,36.586831,128.18709,29.25,17.1,147
60080,Gyeongsangbuk-do,Bonghwa-gun,36.893099,128.732568,35.26,20,47
60090,Gyeongsangbuk-do,Sangju-si,36.410977,128.159024,30.09,17.3,186
60100,Gyeongsangbuk-do,Seongju-gun,35.919325,128.283237,30.89,15.9,84
60110,Gyeongsangbuk-do,Andong-si,36.568441,128.729551,23.95,12.4,290
60120,Gyeongsangbuk-do,Yeongdeok-gun,36.415059,129.366107,36.45,22.3,81
60130,Gyeongsangbuk-do,Yeongyang-gun,36.666664,129.112401,36.36,21.1,24
60140,Gyeongsangbuk-do,Yeongju-si,36.805702,128.623958,26.22,13.2,191
60150,Gyeongsangbuk-do,Yeongcheon-si,35.973268,128.938603,27.32,15.3,192
60160,Gyeongsangbuk-do,Yecheon-gun,36.646707,128.437435,29.79,18.4,97
60170,Gyeongsangbuk-do,Ulleung-gun,37.484438,130.905883,24.81,10.7,11
60180,Gyeongsangbuk-do,Uljin-gun,36.993078,129.400585,27.3,17.6,83
60190,Gyeongsangbuk-do,Uiseong-gun,36.352718,128.697088,40.26,23.7,108
60200,Gyeongsangbuk-do,Cheongdo-gun,35.647361,128.734382,36.55,21,85
60210,Gyeongsangbuk-do,Cheongsong-gun,36.436301,129.05708,36.08,19.4,55
60220,Gyeongsangbuk-do,Chilgok-gun,35.995529,128.401735,15.17,6.7,151
60230,Gyeongsangbuk-do,Pohang-si,36.019052,129.343645,16.44,8,877
61000,Gyeongsangnam-do,Gyeongsangnam-do,35.238294,128.692397,16.51,9.1,5364
61010,Gyeongsangnam-do,Geoje-si,34.880519,128.621216,10.22,4.7,317
61020,Gyeongsangnam-do,Geochang-gun,35.686526,127.910021,27.01,17.4,127
61030,Gyeongsangnam-do,Goseong-gun,34.972986,128.322246,30.17,18.2,89
61040,Gyeongsangnam-do,Gimhae-si,35.228678,128.889352,10.74,5.3,711
61050,Gyeongsangnam-do,Namhae-gun,34.837688,127.892595,36.92,23.3,88
61060,Gyeongsangnam-do,Miryang-si,35.503827,128.746604,27.31,16.3,178
61070,Gyeongsangnam-do,Sacheon-si,35.003668,128.064272,21.17,11.7,191
61080,Gyeongsangnam-do,Sancheong-gun,35.415544,127.87349,35.42,20.6,72
61090,Gyeongsangnam-do,Yangsan-si,35.335016,129.037057,12.92,6.2,507
61100,Gyeongsangnam-do,Uiryeong-gun,35.322198,128.26174,35.95,24.2,60
61110,Gyeongsangnam-do,Jinju-si,35.180313,128.10875,16.27,8.6,597
61120,Gyeongsangnam-do,Changnyeong-gun,35.544603,128.49233,29.8,18.4,129
61130,Gyeongsangnam-do,Changwon-si,35.227992,128.681815,13.64,6.5,1701
61140,Gyeongsangnam-do,Tongyeong-si,34.854426,128.43321,18.47,9.8,230
61150,Gyeongsangnam-do,Hadong-gun,35.067224,127.751271,32.89,19.1,94
61160,Gyeongsangnam-do,Haman-gun,35.272481,128.40654,23.74,14.7,94
61170,Gyeongsangnam-do,Hamyang-gun,35.520541,127.725177,32.65,20.9,83
61180,Gyeongsangnam-do,Hapcheon-gun,35.566702,128.16587,38.44,24.7,96
70000,Jeju-do,Jeju-do,33.488936,126.500423,15.1,6.4,1245
80000,Korea,Korea,37.566953,126.977977,15.67,7.2,94865
